datetime;make;model;year;engine;mileage;price;fuel_type;new
03/06/2021;Opel;Vivaro;2007;2.0;247.0;6.45;D;false
07/04/2017;Audi;A6;2013;3.0;94.0;23.4;D;true
10/31/2018;Audi;A2;2002;1.4;305.0;2;D;true
7/31/2022;Skoda;Octavia;2010;2.0;158.0;8.95;D;true
09/12/2020;Volkswagen;Passat(B7);2013;2.0;200.0;13.35;D;true
04/10/2020;Bmw;3;2004;2.0;235.0;2.75;D;false
03/02/2018;Volkswagen;Passat(B6);2007;2.0;203.0;5.67;D;false
10/08/2021;Audi;Quattro;1993;2.8;401.0;1;P;true
1/13/2019;Volkswagen;Tiguan;2013;2.0;65.0;21;D;true
7/28/2018;Audi;100;1990;2.0;377.0;550;P;true
12/09/2017;LandRover;RangeRoverSport;2016;3.0;19.0;60;D;false
2/29/2020;Bmw;3;2000;2.0;381.0;2.8;P;true
4/23/2018;Peugeot;307;2004;1.6;248.0;1.49;P;true
12/10/2017;Volvo;XC70;2006;2.4;284.0;6.6;D;false
4/22/2018;Ford;Transit;2005;2.0;230.0;2.07;D;true
08/12/2018;Suzuki;Vitara;1990;1.6;200.0;700;P;true
04/04/2020;Peugeot;Expert;2003;1.9;260.0;2.3;D;false
11/23/2021;Fiat;Stilo;2002;1.6;142.0;1.5;P;true
08/01/2019;Bmw;5;2007;3.0;199.0;8.5;D;false
3/29/2022;Opel;Meriva;2012;1.4;32.0;9.2;P;true
11/21/2019;Audi;A4;2003;2.0;246.0;3.8;P;false
10/15/2021;Mercedes;Sprinter;2001;2.1;140.0;1.8;D;true
12/31/2020;Opel;Movano;2016;2.3;22.0;19.9;D;false
10/09/2020;Opel;Astra;1999;2.0;254.0;950;D;false
3/30/2022;Volkswagen;Passat(B6);2007;2.0;141.0;5.79;D;false
8/29/2017;Chrysler;GrandVoyager;2006;2.8;159.0;5.3;D;false
11/14/2021;Opel;Astra;2003;1.7;225.0;1.3;D;false
10/22/2017;Honda;Accord;2006;2.4;155.0;4.5;P;true
07/01/2019;Opel;Astra;2005;1.4;193.0;1.6;P;false
12/28/2019;Skoda;Fabia;2011;1.6;154.0;5.99;D;true
8/13/2020;Audi;A4;1995;1.9;422.0;1.15;D;false
